area_id,name,description
1,A,"Danchells anlæg"
2,B,Nordlandspladsen
3,C,Cirkuspladsen
4,D,"Ved Brandstationen"
5,E,"Kampeløkke HJavn"
6,F,"Ved Allinge Røgeri"
7,G,Yder-/indermolen
8,H,"Allinge Havn"
9,J,Kæmpestranden
11,N,"Nørregade "
10,S,"Kirkepladsen "
