flag_id,text,unicode
1,ild,🔥
2,torden,⚡
3,storm,🌪
4,sne,🌨
5,regn,☔
6,hede,🌡
7,fest,🎉
8,pizza,🍕
9,kaffe,☕
10,politi,👮
11,brand,🚒
12,112,🚑
13,pil,⤳
14,øl,🍺
